DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2003-0391-CHE,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,CHE,Switzerland,Western Europe,Europe,"Aargau, Appenzll Ausser-rhoden, Appenzell Inner-rhoden, Basel-landschaft, Basel-stadt, Bern, Friboug, Genève, Glaurus, Graubünden, Jura, Luzern, Neuchâtel, Nidwalden, Obwalden, Sankt Gallen, Schaffhaussen, Schwyz, Solothurn, Thurgau, Ticino, Uri, Valais, Vaud, Zug, Zurich provinces",,Drought,No,No,No,,,°C,,,,2003,7,,2003,7,,1039,,,,,,,,,280000,477461,58.64355298,"[{""adm1_code"":2807,""adm1_name"":""Aargau""},{""adm1_code"":2808,""adm1_name"":""Appenzell Ausser-rhoden""},{""adm1_code"":2809,""adm1_name"":""Appenzell Inner-rhoden""},{""adm1_code"":2810,""adm1_name"":""Basel-landschaft""},{""adm1_code"":2811,""adm1_name"":""Basel-stadt""},{""adm1_code"":2812,""adm1_name"":""Bern""},{""adm1_code"":2813,""adm1_name"":""Fribourg""},{""adm1_code"":2814,""adm1_name"":""Geneve""},{""adm1_code"":2815,""adm1_name"":""Glarus""},{""adm1_code"":2816,""adm1_name"":""Graubunden""},{""adm1_code"":2817,""adm1_name"":""Jura""},{""adm1_code"":2818,""adm1_name"":""Luzern""},{""adm1_code"":2819,""adm1_name"":""Neuchatel""},{""adm1_code"":2820,""adm1_name"":""Nidwalden""},{""adm1_code"":2821,""adm1_name"":""Obwalden""},{""adm1_code"":2822,""adm1_name"":""Sankt Gallen""},{""adm1_code"":2823,""adm1_name"":""Schaffhausen""},{""adm1_code"":2824,""adm1_name"":""Schwyz""},{""adm1_code"":2825,""adm1_name"":""Solothurn""},{""adm1_code"":2826,""adm1_name"":""Thurgau""},{""adm1_code"":2827,""adm1_name"":""Ticino""},{""adm1_code"":2828,""adm1_name"":""Uri""},{""adm1_code"":2829,""adm1_name"":""Valais""},{""adm1_code"":2830,""adm1_name"":""Vaud""},{""adm1_code"":2831,""adm1_name"":""Zug""},{""adm1_code"":2832,""adm1_name"":""Zurich""}]",2007-04-16,2023-09-25
2003-0391-CZE,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,CZE,Czechia,Eastern Europe,Europe,"Jihocesky, Jihomoravsky, Praha, Severocesky, Severomoravsky, Stredocesky, Vychodocesky, Zapadocesky provinces",,,No,No,No,,25,°C,,,,2003,7,19,2003,7,22,418,,,,,,,,,,,58.64355298,"[{""adm1_code"":1030,""adm1_name"":""Jihocesky""},{""adm1_code"":1031,""adm1_name"":""Jihomoravsky""},{""adm1_code"":1032,""adm1_name"":""Praha""},{""adm1_code"":1033,""adm1_name"":""Severocesky""},{""adm1_code"":1034,""adm1_name"":""Severomoravsky""},{""adm1_code"":1035,""adm1_name"":""Stredocesky""},{""adm1_code"":1036,""adm1_name"":""Vychodocesky""},{""adm1_code"":1037,""adm1_name"":""Zapadocesky""}]",2007-04-04,2023-09-25
2003-0391-DEU,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,DEU,Germany,Western Europe,Europe,"Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Nierdersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen provinces",,Drought,No,No,No,,,°C,,,,2003,8,,2003,8,,9355,,,,,,,10000,17052,1650000,2813609,58.64355298,"[{""adm1_code"":1308,""adm1_name"":""Baden-Wuerttemberg""},{""adm1_code"":1309,""adm1_name"":""Bayern""},{""adm1_code"":1310,""adm1_name"":""Berlin""},{""adm1_code"":1311,""adm1_name"":""Brandenburg""},{""adm1_code"":1312,""adm1_name"":""Bremen""},{""adm1_code"":1313,""adm1_name"":""Hamburg""},{""adm1_code"":1314,""adm1_name"":""Hessen""},{""adm1_code"":1315,""adm1_name"":""Mecklenburg-Vorpommern""},{""adm1_code"":1316,""adm1_name"":""Niedersachsen""},{""adm1_code"":1317,""adm1_name"":""Nordrhein-Westfalen""},{""adm1_code"":1318,""adm1_name"":""Rheinland-Pfalz""},{""adm1_code"":1319,""adm1_name"":""Saarland""},{""adm1_code"":1320,""adm1_name"":""Sachsen""},{""adm1_code"":1321,""adm1_name"":""Sachsen-Anhalt""},{""adm1_code"":1322,""adm1_name"":""Schleswig-Holstein""},{""adm1_code"":1323,""adm1_name"":""Thueringen""}]",2007-04-16,2023-09-25
2003-0391-ESP,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,ESP,Spain,Southern Europe,Europe,Andaloucia province,,Drought,No,No,No,,40,°C,,,,2003,8,1,2003,8,11,15090,,,,,,,,,880000,1500591,58.64355298,"[{""adm1_code"":2716,""adm1_name"":""Andalucía""}]",2007-04-16,2023-09-25
2003-0391-FRA,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,FRA,France,Western Europe,Europe,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Compte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Côte-D'azur, Rhône-Alpes, Midi-Pyrénées provinces",,Drought,No,No,No,,43,°C,,,,2003,8,1,2003,8,20,19490,,,,,,,,,4400000,7502956,58.64355298,"[{""adm1_code"":1248,""adm1_name"":""Alsace""},{""adm1_code"":1249,""adm1_name"":""Aquitaine""},{""adm1_code"":1250,""adm1_name"":""Auvergne""},{""adm1_code"":1251,""adm1_name"":""Basse-Normandie""},{""adm1_code"":1252,""adm1_name"":""Bourgogne""},{""adm1_code"":1253,""adm1_name"":""Bretagne""},{""adm1_code"":1254,""adm1_name"":""Centre""},{""adm1_code"":1255,""adm1_name"":""Champagne-Ardenne""},{""adm1_code"":1256,""adm1_name"":""Corse""},{""adm1_code"":1257,""adm1_name"":""Franche-Comte""},{""adm1_code"":1258,""adm1_name"":""Haute-Normandie""},{""adm1_code"":1259,""adm1_name"":""Ile-de-France""},{""adm1_code"":1260,""adm1_name"":""Languedoc-Rousillon""},{""adm1_code"":1262,""adm1_name"":""Limousin""},{""adm1_code"":1263,""adm1_name"":""Lorraine""},{""adm1_code"":1264,""adm1_name"":""Midi-Pyrenees""},{""adm1_code"":1265,""adm1_name"":""Nord-Pas-de-Calais""},{""adm1_code"":1266,""adm1_name"":""Pays-de-la-Loire""},{""adm1_code"":1267,""adm1_name"":""Picardie""},{""adm1_code"":1268,""adm1_name"":""Poitou-Charentes""},{""adm1_code"":1269,""adm1_name"":""Provence-Alpes-Cote-d'Azur""},{""adm1_code"":1270,""adm1_name"":""Rhone-Alpes""}]",2007-04-16,2023-09-25
2003-0391-GBR,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"England, Wales provinces",,,No,No,No,,,°C,,,,2003,7,,2003,7,,301,,,,,,,,,,,58.64355298,"[{""adm1_code"":3182,""adm1_name"":""England""},{""adm1_code"":3186,""adm1_name"":""Wales""}]",2007-04-03,2023-09-25
2003-0391-HRV,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,HRV,Croatia,Southern Europe,Europe,"Bjelovar-bilogora, Dubrovnik-Neretva, Grad Zagreb, Istra, Karlovac, Koprivnica-krizevci, Krapina-zagorje, Lika-senj, Medimurje, Osijek-baranja, Pozega-slavonija, Primorje-gorski Kota, Šibenik, Sisak-moslavina, Slavonski Brod-posav, Split-dalmatija, Varazdin, Virovitica-podravina, Vukovar-srijem, Zadar-Knin, Zagreb provinces",,Drought,No,No,No,,,°C,,,,2003,7,,2003,7,,788,,,,,,,,,,,58.64355298,"[{""adm1_code"":988,""adm1_name"":""Bjelovar-bilogora""},{""adm1_code"":989,""adm1_name"":""Dubrovnik-neretva""},{""adm1_code"":990,""adm1_name"":""Grad Zagreb""},{""adm1_code"":991,""adm1_name"":""Istra""},{""adm1_code"":992,""adm1_name"":""Karlovac""},{""adm1_code"":993,""adm1_name"":""Koprivnica-krizevci""},{""adm1_code"":994,""adm1_name"":""Krapina-zagorje""},{""adm1_code"":995,""adm1_name"":""Lika-senj""},{""adm1_code"":996,""adm1_name"":""Medimurje""},{""adm1_code"":997,""adm1_name"":""Osijek-baranja""},{""adm1_code"":998,""adm1_name"":""Pozega-slavonija""},{""adm1_code"":999,""adm1_name"":""Primorje-gorski Kota""},{""adm1_code"":1000,""adm1_name"":""Sibenik""},{""adm1_code"":1001,""adm1_name"":""Sisak-moslavina""},{""adm1_code"":1002,""adm1_name"":""Slavonski Brod-posav""},{""adm1_code"":1003,""adm1_name"":""Split-dalmatija""},{""adm1_code"":1004,""adm1_name"":""Varazdin""},{""adm1_code"":1005,""adm1_name"":""Virovitica-podravina""},{""adm1_code"":1006,""adm1_name"":""Vukovar-srijem""},{""adm1_code"":1007,""adm1_name"":""Zadar-knin""},{""adm1_code"":1008,""adm1_name"":""Zagreb""}]",2007-04-16,2023-09-25
2003-0391-ITA,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,ITA,Italy,Southern Europe,Europe,"Milano, Varese districts (Lombardia province), Torino district (Piemonte province), Firenze district (Toscana province), Lecce district (Puglia province), Genova district (Liguria province)",,Drought,No,No,No,,,°C,,,,2003,7,16,2003,8,15,20089,,,,,,,,,4400000,7502956,58.64355298,"[{""adm2_code"":18352,""adm2_name"":""Genova""},{""adm2_code"":18363,""adm2_name"":""Milano""},{""adm2_code"":18366,""adm2_name"":""Varese""},{""adm2_code"":18378,""adm2_name"":""Torino""},{""adm2_code"":18384,""adm2_name"":""Lecce""},{""adm2_code"":18400,""adm2_name"":""Firenze""}]",2007-04-16,2023-09-25
2003-0391-LUX,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,LUX,Luxembourg,Western Europe,Europe,"Diekirch, Grevenmacher, Luxembourg provinces",,,No,No,No,,,°C,,,,2003,7,,2003,7,,170,,,,,,,,,,,58.64355298,"[{""adm1_code"":1876,""adm1_name"":""Diekirch""},{""adm1_code"":1877,""adm1_name"":""Grevenmacher""},{""adm1_code"":1878,""adm1_name"":""Luxembourg""}]",2007-04-04,2023-09-25
2003-0391-NLD,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,NLD,Netherlands (Kingdom of the),Western Europe,Europe,"Drenthe, Flevoland, Friesland, Gelderland, Groninge, Limburg, Noord-brabant, Noord-holland,Overijssel, Utrecht, Zeeland, Zuit-holland provinces",,,No,No,No,,,°C,,,,2003,7,31,2003,8,13,965,,,,,,,,,,,58.64355298,"[{""adm1_code"":2158,""adm1_name"":""Drenthe""},{""adm1_code"":2159,""adm1_name"":""Flevoland""},{""adm1_code"":2160,""adm1_name"":""Friesland""},{""adm1_code"":2161,""adm1_name"":""Gelderland""},{""adm1_code"":2162,""adm1_name"":""Groningen""},{""adm1_code"":2163,""adm1_name"":""Limburg""},{""adm1_code"":2164,""adm1_name"":""Noord-brabant""},{""adm1_code"":2165,""adm1_name"":""Noord-holland""},{""adm1_code"":2166,""adm1_name"":""Overijssel""},{""adm1_code"":2167,""adm1_name"":""Utrecht""},{""adm1_code"":2168,""adm1_name"":""Zeeland""},{""adm1_code"":2169,""adm1_name"":""Zuid-holland""}]",2003-09-08,2023-09-25
2003-0391-PRT,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,PRT,Portugal,Southern Europe,Europe,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guadra, Leiria, Lisboa, Portoalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu provinces",,,No,No,No,,,°C,,,,2003,7,30,2003,8,15,2696,,,,,,,,,,,58.64355298,"[{""adm1_code"":2386,""adm1_name"":""Aveiro""},{""adm1_code"":2387,""adm1_name"":""Beja""},{""adm1_code"":2388,""adm1_name"":""Braga""},{""adm1_code"":2389,""adm1_name"":""Braganca""},{""adm1_code"":2390,""adm1_name"":""Castelo Branco""},{""adm1_code"":2391,""adm1_name"":""Coimbra""},{""adm1_code"":2392,""adm1_name"":""Evora""},{""adm1_code"":2393,""adm1_name"":""Faro""},{""adm1_code"":2394,""adm1_name"":""Guarda""},{""adm1_code"":2405,""adm1_name"":""Leiria""},{""adm1_code"":2406,""adm1_name"":""Lisboa""},{""adm1_code"":2407,""adm1_name"":""Portalegre""},{""adm1_code"":2408,""adm1_name"":""Porto""},{""adm1_code"":2409,""adm1_name"":""Santarem""},{""adm1_code"":2410,""adm1_name"":""Setubal""},{""adm1_code"":2411,""adm1_name"":""Viana Do Castelo""},{""adm1_code"":2412,""adm1_name"":""Vila Real""},{""adm1_code"":2413,""adm1_name"":""Viseu""}]",2003-08-28,2023-09-25
2003-0391-SVK,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,SVK,Slovakia,Eastern Europe,Europe,"Banka Bystrica, Bratislava, Kosice, Nitra, Presov, Trencin, Trnava, Zilna provinces",,Drought,No,No,No,,,°C,,,,2003,7,,2003,8,,,,,,,,,,,150000,255783,58.64355298,"[{""adm1_code"":2667,""adm1_name"":""Banska Bystrica""},{""adm1_code"":2668,""adm1_name"":""Bratislava""},{""adm1_code"":2669,""adm1_name"":""Kosice""},{""adm1_code"":2670,""adm1_name"":""Nitra""},{""adm1_code"":2671,""adm1_name"":""Presov""},{""adm1_code"":2672,""adm1_name"":""Trencin""},{""adm1_code"":2673,""adm1_name"":""Trnava""},{""adm1_code"":2674,""adm1_name"":""Zilna""}]",2007-04-16,2023-09-25
2003-0391-SVN,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,SVN,Slovenia,Southern Europe,Europe,"Gorenjska, Goriska, Jugovzodna Slovenija, Koroska, Notranjsko-kraska, Obalno-kraska, Osrednjeslovenska, Podravska, Pomurska, Savinjska, Spodnjeposavska, Zavaska provinces",,Drought|Wildfire,No,No,No,,,°C,,,,2003,7,,2003,8,,289,,,,,,,,,80000,136417,58.64355298,"[{""adm1_code"":2675,""adm1_name"":""Gorenjska""},{""adm1_code"":2676,""adm1_name"":""Goriska""},{""adm1_code"":2677,""adm1_name"":""Jugovzodna Slovenija""},{""adm1_code"":2678,""adm1_name"":""Koroska""},{""adm1_code"":2679,""adm1_name"":""Notranjsko-kraska""},{""adm1_code"":2680,""adm1_name"":""Obalno-kraska""},{""adm1_code"":2681,""adm1_name"":""Osrednjeslovenska""},{""adm1_code"":2682,""adm1_name"":""Podravska""},{""adm1_code"":2683,""adm1_name"":""Pomurska""},{""adm1_code"":2684,""adm1_name"":""Savinjska""},{""adm1_code"":2685,""adm1_name"":""Spodnjeposavska""},{""adm1_code"":2686,""adm1_name"":""Zasavska""}]",2007-04-16,2023-09-25
2003-0622-MEX,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,MEX,Mexico,Latin America and the Caribbean,Americas,"Chihuahua, Puebla, Nuevo Leon, Hidalgo, Sonora, Durango, San Luis Potosi, Tlaxcala provinces",,,No,No,Yes,,-15,°C,,,,2003,12,,2003,12,,21,,,,,,,,,,,58.64355298,"[{""adm1_code"":2033,""adm1_name"":""Chihuahua""},{""adm1_code"":2037,""adm1_name"":""Durango""},{""adm1_code"":2040,""adm1_name"":""Hidalgo""},{""adm1_code"":2046,""adm1_name"":""Nuevo Leon""},{""adm1_code"":2048,""adm1_name"":""Puebla""},{""adm1_code"":2051,""adm1_name"":""San Luis Potosi""},{""adm1_code"":2053,""adm1_name"":""Sonora""},{""adm1_code"":2056,""adm1_name"":""Tlaxcala""}]",2004-01-05,2023-09-25
2003-0636-BGD,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,BGD,Bangladesh,Southern Asia,Asia,"Chittagong, Dhaka, Rajshahi, Rangpur provinces",,,No,No,No,,,°C,,,,2003,12,15,2004,1,,153,200,,,200,,,,,,,58.64355298,"[{""adm1_code"":576,""adm1_name"":""Chittagong""},{""adm1_code"":577,""adm1_name"":""Dhaka""},{""adm1_code"":61362,""adm1_name"":""Rajshahi""},{""adm1_code"":61363,""adm1_name"":""Rangpur""}]",2004-01-16,2023-09-25
2003-0636-IND,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,IND,India,Southern Asia,Asia,"Uttar Pradesh, Himachal Pradesh, Haryana, Jammu and Kashmir provinces",,,No,No,No,,,°C,,,,2003,12,15,2004,1,,400,,,,,,,,,,,58.64355298,"[{""adm1_code"":1492,""adm1_name"":""Haryana""},{""adm1_code"":1493,""adm1_name"":""Himachal Pradesh""},{""adm1_code"":40408,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40409,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40422,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40423,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40424,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40425,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40426,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40427,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40428,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40429,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40430,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40431,""adm1_name"":""Administrative unit not available""},{""adm1_code"":70081,""adm1_name"":""Uttar Pradesh""}]",2004-01-16,2023-09-25
2003-0636-NPL,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,NPL,Nepal,Southern Asia,Asia,"Central, Eastern, Far Western, Mid Western, Western provinces",,,No,No,No,,,°C,,,,2003,12,15,2004,1,,48,,,,,,,,,,,58.64355298,"[{""adm1_code"":2152,""adm1_name"":""Central""},{""adm1_code"":2153,""adm1_name"":""Eastern""},{""adm1_code"":2154,""adm1_name"":""Far Western""},{""adm1_code"":2155,""adm1_name"":""Mid Western""},{""adm1_code"":2156,""adm1_name"":""Western""}]",2004-01-16,2023-09-25
2003-0785-DZA,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,DZA,Algeria,Northern Africa,Africa,Adrar (province?/district?),,,No,No,No,,47,°C,,,,2003,6,21,2003,7,21,40,,,,,,,,,,,58.64355298,"[{""adm2_code"":37631,""adm2_name"":""Adrar""}]",2004-03-10,2023-09-25
2004-0010-TUR,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,GLIDE:ET-2004-000010,,TUR,Türkiye,Western Asia,Asia,"Aragpir city (Malatya province), Istanbul, Ankara, Kayseri, Izmir, Bursa, Erzurum provinces",,Snow/ice,No,No,No,,-22,°C,,,,2004,1,9,2004,1,10,10,,,,,,,,,,,60.21357973,"[{""adm1_code"":3023,""adm1_name"":""Ankara""},{""adm1_code"":3037,""adm1_name"":""Bursa""},{""adm1_code"":3046,""adm1_name"":""Erzurum""},{""adm1_code"":3056,""adm1_name"":""Istanbul""},{""adm1_code"":3057,""adm1_name"":""Izmir""},{""adm1_code"":3063,""adm1_name"":""Kayseri""},{""adm1_code"":3071,""adm1_name"":""Malatya""}]",2004-01-12,2025-06-25
2004-0310-CHN,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,GLIDE:HT-2004-000047,,CHN,China,Eastern Asia,Asia,"Guangzhou city (Guangzhou district, Guangdong Sheng province)",,,No,No,No,,39,°C,,,,2004,7,2,2004,7,3,39,,,,,,,,,,,60.21357973,"[{""adm2_code"":13028,""adm2_name"":""Guangzhou""}]",2004-07-05,2025-06-25
2004-0331-ARG,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,ARG,Argentina,Latin America and the Caribbean,Americas,"Mar del Plata city (General Pueyrredon district, Buenos Aires province)",,Snow/ice,No,No,No,,-11,°C,,,,2004,7,,2004,7,,5,,,,,,,,,,,60.21357973,"[{""adm2_code"":4432,""adm2_name"":""General Pueyrredon""}]",2005-04-12,2023-09-25
2004-0331-BRA,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,BRA,Brazil,Latin America and the Caribbean,Americas,"Santa Catarina, Parana provinces",,,No,No,No,,-7,°C,,,,2004,7,,2004,7,,,,,,,,,,,,,60.21357973,"[{""adm1_code"":680,""adm1_name"":""Parana""},{""adm1_code"":688,""adm1_name"":""Santa Catarina""}]",2004-07-13,2023-09-25
2004-0331-CHL,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,CHL,Chile,Latin America and the Caribbean,Americas,"Aisen del Gral. Carlos Ibañez del Campo, Antofagasta, Araucania, Arica y Painacota, Atacama, Biobio, Coquimbo, Libertador Gral. Bernardo O'Higgins, Los Lagos, Los Rios, Magallanes y Antartica chilena, Maule, Metropolitana, Tarapaca, Valparaiso provinces",,,No,No,No,,,°C,,,,2004,7,,2004,7,,,,,,,,,,,,,60.21357973,"[{""adm1_code"":883,""adm1_name"":""Antofagasta""},{""adm1_code"":884,""adm1_name"":""Araucania""},{""adm1_code"":885,""adm1_name"":""Atacama""},{""adm1_code"":886,""adm1_name"":""Aisen del Gral. Carlos Ibañez del Campo""},{""adm1_code"":887,""adm1_name"":""Biobio""},{""adm1_code"":888,""adm1_name"":""Coquimbo""},{""adm1_code"":889,""adm1_name"":""Libertador Gral. Bernardo O'Higgins""},{""adm1_code"":891,""adm1_name"":""Magallanes y Antartica chilena""},{""adm1_code"":892,""adm1_name"":""Maule""},{""adm1_code"":893,""adm1_name"":""Metropolitana""},{""adm1_code"":91501,""adm1_name"":""Los Lagos""},{""adm1_code"":91502,""adm1_name"":""Tarapaca""},{""adm1_code"":91503,""adm1_name"":""Arica y Painacota""},{""adm1_code"":91504,""adm1_name"":""Los Rios""},{""adm1_code"":149630,""adm1_name"":""Valparaiso""}]",2004-07-13,2023-09-25
2004-0331-PER,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,PER,Peru,Latin America and the Caribbean,Americas,"Ancash, Puno, Cusco, Arequipa, Moquegua, Tacna, Apurimac, Ayacucho, Huancavelica, Huanuco, Junin, Lima, Madre de Dios, Pasco, Ucayali provinces",,Rain|Snow/ice,No,No,Yes,405,-35,°C,,,,2004,6,,2004,7,,90,1800000,337467,,2137467,,,,,,,60.21357973,"[{""adm1_code"":2329,""adm1_name"":""Ancash""},{""adm1_code"":2330,""adm1_name"":""Apurímac""},{""adm1_code"":2331,""adm1_name"":""Arequipa""},{""adm1_code"":2332,""adm1_name"":""Ayacucho""},{""adm1_code"":2335,""adm1_name"":""Cusco""},{""adm1_code"":2336,""adm1_name"":""Huancavelica""},{""adm1_code"":2337,""adm1_name"":""Huánuco""},{""adm1_code"":2339,""adm1_name"":""Junín""},{""adm1_code"":2342,""adm1_name"":""Lima""},{""adm1_code"":2344,""adm1_name"":""Madre de Dios""},{""adm1_code"":2345,""adm1_name"":""Moquegua""},{""adm1_code"":2346,""adm1_name"":""Pasco""},{""adm1_code"":2348,""adm1_name"":""Puno""},{""adm1_code"":2350,""adm1_name"":""Tacna""},{""adm1_code"":2352,""adm1_name"":""Ucayali""}]",2005-04-12,2023-09-25
2004-0331-PRY,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,PRY,Paraguay,Latin America and the Caribbean,Americas,"Alto Paraguay, Alto Parana, Amambay, Boqueron, Caaguazu, Caazapa, Canindeyu, Central, Concepcion, Cordillera, Guaira, Itapua, Misiones, Neembucu, Paraguari, Presidente Hayes, San Pedro provinces",,,No,No,No,,,°C,,,,2004,7,,2004,7,,,,,,,,,,,,,60.21357973,"[{""adm1_code"":2311,""adm1_name"":""Alto Paraguay""},{""adm1_code"":2312,""adm1_name"":""Alto Parana""},{""adm1_code"":2313,""adm1_name"":""Amambay""},{""adm1_code"":2314,""adm1_name"":""Boqueron""},{""adm1_code"":2315,""adm1_name"":""Caaguazu""},{""adm1_code"":2316,""adm1_name"":""Caazapa""},{""adm1_code"":2317,""adm1_name"":""Canindeyu""},{""adm1_code"":2318,""adm1_name"":""Central""},{""adm1_code"":2319,""adm1_name"":""Concepcion""},{""adm1_code"":2320,""adm1_name"":""Cordillera""},{""adm1_code"":2321,""adm1_name"":""Guaira""},{""adm1_code"":2322,""adm1_name"":""Itapua""},{""adm1_code"":2323,""adm1_name"":""Misiones""},{""adm1_code"":2324,""adm1_name"":""Neembucu""},{""adm1_code"":2325,""adm1_name"":""Paraguari""},{""adm1_code"":2326,""adm1_name"":""Presidente Hayes""},{""adm1_code"":2327,""adm1_name"":""San Pedro""}]",2004-07-13,2023-09-25
2004-0331-URY,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,URY,Uruguay,Latin America and the Caribbean,Americas,Montevideo province,,,No,No,No,,,°C,,,,2004,7,,2004,7,,,,2000,,2000,,,,,,,60.21357973,"[{""adm1_code"":3274,""adm1_name"":""Montevideo""}]",2004-07-13,2023-09-25
2004-0333-ALB,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,ALB,Albania,Southern Europe,Europe,"Durres city (Durres district, Durres province)",,,No,No,No,,38,°C,,,,2004,7,1,2004,7,,3,,,,,,,,,,,60.21357973,"[{""adm2_code"":3819,""adm2_name"":""Durres""}]",2004-07-12,2023-09-25
