,date,temp_max,temp_min,latitude,longitude,country,region,city,notes,min_mean,min_std,min_extreme,delta_temp_std,event_label,duration
0,2021-02-21,-22.451649999999972,-31.61203999999998,50,60,Kazakhstan,,Aktobe,,-13.182436588235271,6.962362169003203,-30.58834201074328,-0.1470331425466857,1,2
1,2021-02-25,-21.70253999999997,-31.47706999999997,50,60,Kazakhstan,,Aktobe,,-13.182436588235271,6.962362169003203,-30.58834201074328,-0.1276474805078875,2,2
2,2021-03-13,-11.634860000000003,-24.28840999999997,50,60,Kazakhstan,,Aktobe,,-7.996859408602128,6.38208702235106,-23.952076964479776,-0.0526995376813735,3,2
3,2021-04-01,0.40300000000002,-11.175849999999969,50,60,Kazakhstan,,Aktobe,,2.8047552777778,4.693063933660034,-8.927904556372287,-0.478993142945434,4,2
4,2023-01-09,-26.100409999999982,-34.95375999999999,50,60,Kazakhstan,,Aktobe,,-14.891543494623631,7.297432226175669,-33.13512406006281,-0.2492158725933471,5,2
5,2023-08-29,14.941250000000023,7.354579999999999,50,60,Kazakhstan,,Aktobe,,16.202869096774222,3.4582823742055453,7.557163161260359,-0.0585791266703311,6,2
6,2023-12-11,-23.221689999999967,-31.202919999999978,50,60,Kazakhstan,,Aktobe,,-13.11678141935482,7.095775130500297,-30.85621924560556,-0.0488601665100926,7,2
7,2021-02-09,-6.497719999999958,-12.822180000000005,50,10,Germay,,Frankfurt,,0.3957522941176702,4.334163727448221,-10.439657024502882,-0.5497076541914246,8,6
8,2022-04-03,3.2560700000000224,-5.925119999999993,50,10,Germay,,Frankfurt,,3.803464944444468,3.62892069173651,-5.268836784896807,-0.1808480457006462,9,2
9,2023-11-28,0.7609000000000492,-6.63979999999998,50,10,Germay,,Frankfurt,,2.82786906666669,3.4504258708076487,-5.7981956103524315,-0.2439131925041334,10,2
10,2020-06-14,21.675130000000024,6.492400000000032,20,-100,Mexico,,Mexico City,,10.828021500000023,1.141040611705081,7.97541997073732,-1.2997083149575022,11,2
11,2021-01-01,19.01962000000003,0.94204000000002,20,-100,Mexico,,Mexico City,,5.012470483870991,1.5214768412392388,1.2087783807728938,-0.1753154392778112,12,2
12,2025-04-11,21.798429999999996,3.595360000000028,20,-100,Mexico,,Mexico City,,8.9734072777778,1.5935268948144568,4.989590040741659,-0.874933485765842,13,3
13,2021-02-22,-30.282339999999976,-37.30433999999997,60,60,Russia,,,,-15.164588352941156,8.114978636240217,-35.4520349435417,-0.2282575394821334,14,2
